Id,Key,Name,Category,Symbol,Abstract,Url,DetailUrl,RateUrl,Rating,TopEffect,TopMedical,TopActivity
25,northern-lights,Northern Lights,Indica,Nl,The Northern Lights genetics are part of many of the most promising indoor strain varieties.  One of the most potent and famous cannabis strains in the world she delivers a stoned body high like no other.,http://www.leafly.com/indica/northern-lights,http://www.leafly.com/api/details/northern-lights,http://www.leafly.com/me/create/northern-lights,8.3,Euphoric,Stress,Listen to music
7,northern-lights--5,Northern Lights #5,Hybrid,N5,Northern Lights #5 is in the popular Northern Lights family of cannabis strains.  Introduced in 1989 it has since won many awards at the Cannabis Cup and other harvest festivals.,http://www.leafly.com/hybrid/northern-lights--5,http://www.leafly.com/api/details/northern-lights--5,http://www.leafly.com/me/create/northern-lights--5,8.9,Euphoric,Stress,Listen to music
3668,northern-skunk,Northern Skunk,Hybrid,Nsk,,http://www.leafly.com/hybrid/northern-skunk,http://www.leafly.com/api/details/northern-skunk,http://www.leafly.com/me/create/northern-skunk,8.5,Euphoric,Migraines,N/A
8796,nuggetry-og,Nuggetry OG,Indica,Nug,,http://www.leafly.com/indica/nuggetry-og,http://www.leafly.com/api/details/nuggetry-og,http://www.leafly.com/me/create/nuggetry-og,7.6,Lazy,Pain,N/A
45,nyc-diesel,NYC Diesel,Hybrid,Nyc,"NYC Diesel is a great sativa-dominant strain for use during the day.  Go out or stay in, this strain will not disappoint.",http://www.leafly.com/hybrid/nyc-diesel,http://www.leafly.com/api/details/nyc-diesel,http://www.leafly.com/me/create/nyc-diesel,8,Euphoric,Stress,Relax at home
3554,obama-kush,Obama Kush,Indica,Oba,,http://www.leafly.com/indica/obama-kush,http://www.leafly.com/api/details/obama-kush,http://www.leafly.com/me/create/obama-kush,8.3,Energetic,Migraines,N/A
10754,ocd,OCD,Hybrid,Ocd,,http://www.leafly.com/hybrid/ocd,http://www.leafly.com/api/details/ocd,http://www.leafly.com/me/create/ocd,9.5,Energetic,Lack of appetite,N/A
936,odyssey,Odyssey,Hybrid,Ody,,http://www.leafly.com/hybrid/odyssey,http://www.leafly.com/api/details/odyssey,http://www.leafly.com/me/create/odyssey,6.5,Lazy,Stress,Watch a movie
7370,og,OG,Sativa,Og,,http://www.leafly.com/sativa/og,http://www.leafly.com/api/details/og,http://www.leafly.com/me/create/og,7.8,Focused,Stress,N/A
17545,og-diesel-kush,OG Diesel Kush,Hybrid,Ogd,OG Diesel Kush has a THC content up to 19.6% with dark green buds and milky trichromes.,http://www.leafly.com/hybrid/og-diesel-kush,http://www.leafly.com/api/details/og-diesel-kush,http://www.leafly.com/me/create/og-diesel-kush,8.3,Sleepy,Insomnia,N/A
23,og-kush,OG Kush,Hybrid,Og,OG Kush is a very popular strain.  This variety put Southern California on the map for marijuana growers everywhere.  Mostly sativa so it is not technically a Kush strain.,http://www.leafly.com/hybrid/og-kush,http://www.leafly.com/api/details/og-kush,http://www.leafly.com/me/create/og-kush,8.3,Euphoric,Stress,Relax at home
212,og-poison,OG Poison,Hybrid,Ogp,,http://www.leafly.com/hybrid/og-poison,http://www.leafly.com/api/details/og-poison,http://www.leafly.com/me/create/og-poison,8.1,Sleepy,Insomnia,Watch a movie
3686,og-wreck,OG Wreck,Hybrid,Ow,,http://www.leafly.com/hybrid/og-wreck,http://www.leafly.com/api/details/og-wreck,http://www.leafly.com/me/create/og-wreck,8.3,Euphoric,Nausea,N/A
164,ogiesel,OGiesel,Hybrid,OGi,,http://www.leafly.com/hybrid/ogiesel,http://www.leafly.com/api/details/ogiesel,http://www.leafly.com/me/create/ogiesel,8.2,Euphoric,Stress,Get outdoors
109,ogre,Ogre,Indica,Ogr,Ogre has a pungent and lemony scent and provides a strong body high.,http://www.leafly.com/indica/ogre,http://www.leafly.com/api/details/ogre,http://www.leafly.com/me/create/ogre,7.4,Lazy,Anxiety,Get outdoors
92,old-lyme-connecticut-og,Old Lyme Connecticut OG,Hybrid,Olc,,http://www.leafly.com/hybrid/old-lyme-connecticut-og,http://www.leafly.com/api/details/old-lyme-connecticut-og,http://www.leafly.com/me/create/old-lyme-connecticut-og,9,Energetic,Lack of appetite,Hang with friends
401,orange-bud,Orange Bud,Indica,Orb,"A combination of two pure Skunk family members, Orange Bud is a marijuana strain that is easy to grow with a THC level up to 16.5%.",http://www.leafly.com/indica/orange-bud,http://www.leafly.com/api/details/orange-bud,http://www.leafly.com/me/create/orange-bud,8.8,Happy,Pain,Relax at home
156,orange-crush,Orange Crush,Hybrid,Oc,"Bred with Californian Ornage and Blueberry, Orange Crush has a THC content up to 15% and a powerful cerebral high lasting up to 2 hours. ",http://www.leafly.com/hybrid/orange-crush,http://www.leafly.com/api/details/orange-crush,http://www.leafly.com/me/create/orange-crush,8,Happy,Stress,Hang with friends
197,orange-dream,Orange Dream,Hybrid,Od,A sativa-dominant cross of Orange Crush and Blue Dream.,http://www.leafly.com/hybrid/orange-dream,http://www.leafly.com/api/details/orange-dream,http://www.leafly.com/me/create/orange-dream,7.6,Euphoric,Stress,Play video games
194,orange-kush,Orange Kush,Hybrid,Ok,"With a strong tangy citrus flavor, Orange Kush has a THC content up to 20%.",http://www.leafly.com/hybrid/orange-kush,http://www.leafly.com/api/details/orange-kush,http://www.leafly.com/me/create/orange-kush,7.9,Sleepy,Insomnia,Relax at home
53,orange-velvet,Orange Velvet,Hybrid,Ov,Orange Velvet taste and smells remarkably like orange dreamsicles.  The high gives a euphoric lift while maintaining focus and clarity.,http://www.leafly.com/hybrid/orange-velvet,http://www.leafly.com/api/details/orange-velvet,http://www.leafly.com/me/create/orange-velvet,6.6,Energetic,Stress,Meditate
190,organic-diesel,Organic Diesel,Hybrid,Ord,,http://www.leafly.com/hybrid/organic-diesel,http://www.leafly.com/api/details/organic-diesel,http://www.leafly.com/me/create/organic-diesel,8.8,Euphoric,Anxiety,Get outdoors
13471,outer-space,Outer Space,Sativa,Out,"Outer Space is a sativa-dominant strain that is a cross of Island Sweet Skunk and Trinity and is known for cerebral and creative effects. It has a citrusy odor that is strong and produces a flavorful smoke. Great as a daytime medicine.
",http://www.leafly.com/sativa/outer-space,http://www.leafly.com/api/details/outer-space,http://www.leafly.com/me/create/outer-space,9.3,Euphoric,Migraines,N/A
209,p-91,P-91,Hybrid,P91,,http://www.leafly.com/hybrid/p-91,http://www.leafly.com/api/details/p-91,http://www.leafly.com/me/create/p-91,7.7,Sleepy,Pain,Relax at home
1633,panama-red,Panama Red,Sativa,Pan,,http://www.leafly.com/sativa/panama-red,http://www.leafly.com/api/details/panama-red,http://www.leafly.com/me/create/panama-red,7.5,Energetic,Stress,Meditate
5479,pandoras-box,Pandora's Box,Sativa,Pan,"A mostly sativa cross of Jack the Ripper and Space Queen, this strain has high THC levels and a citrus flavor.",http://www.leafly.com/sativa/pandoras-box,http://www.leafly.com/api/details/pandoras-box,http://www.leafly.com/me/create/pandoras-box,8.5,Uplifted,Anxiety,N/A
2189,papaya,Papaya,Hybrid,Pap,,http://www.leafly.com/hybrid/papaya,http://www.leafly.com/api/details/papaya,http://www.leafly.com/me/create/papaya,7.5,Uplifted,Anxiety,N/A
1708,permafrost,Permafrost,Hybrid,Per,"Permafrost marijuana strain has the parents of Trainwreck and White Widow and has a ""frost"" of crystals on the buds. ",http://www.leafly.com/hybrid/permafrost,http://www.leafly.com/api/details/permafrost,http://www.leafly.com/me/create/permafrost,8.1,Euphoric,Stress,Hang with friends
239,pineapple,Pineapple,Hybrid,Pin,"Smelling and resembling a pineapple, this marijuana strain has a flowering time of 7-8 weeks.",http://www.leafly.com/hybrid/pineapple,http://www.leafly.com/api/details/pineapple,http://www.leafly.com/me/create/pineapple,7.5,Lazy,Stress,Relax at home
934,pineapple-diesel,Pineapple Diesel,Hybrid,Pd,,http://www.leafly.com/hybrid/pineapple-diesel,http://www.leafly.com/api/details/pineapple-diesel,http://www.leafly.com/me/create/pineapple-diesel,8.6,Giggly,Stress,Get outdoors
210,pineapple-express,Pineapple Express,Hybrid,Pex,"Pineapple Express has a THC content up to 17% and smells like apple and mango, with a taste of pineapple. ",http://www.leafly.com/hybrid/pineapple-express,http://www.leafly.com/api/details/pineapple-express,http://www.leafly.com/me/create/pineapple-express,7.9,Happy,Stress,Hang with friends
